Date,AAPL,AMZN,BAC,CAT,CVX,DE,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM
2019-01-03,-0.07142546567762681,0.008899409954815467,0.0012860125409506415,-0.023274187011047588,-0.006595475900798864,-0.012570757133049615,0.0034621778128292417,-0.0059753645966106415,0.00330164962107719,-0.0028527175510434863,-0.008488260735729787,0.006271177297110042,-0.006967773297080747
2019-01-04,-0.0016242347554742548,0.005043887190239529,0.0036212440920839403,0.020591203896260526,-0.00737437131476746,0.021722158878711702,0.00810119982558833,0.0027154277479982895,0.002197709005703742,0.0038080165784162706,-0.0052184651415874625,0.0039825730790274995,0.012612319230628777
2019-01-07,-0.012933081066971748,0.01903147334948118,-0.0049430443811984,-0.006950194597831926,0.011420596393451773,0.009269442912966788,-0.01398177723474714,-0.006306565732600744,-0.0023404724363736825,-0.008474142285256872,0.0294233230343236,-0.003584135061540281,0.004291066055832829
2019-01-08,0.0062788657526863575,0.0021190144519559993,-0.007230156131356162,0.0036322380357780987,-0.007545558521304876,0.010255957297096208,-0.004052965684123003,0.021242512483556405,-0.006926795145048859,-0.004915638994956145,-0.049424621946534616,0.0015409722008493392,0.005286080602860508
2019-01-09,0.012065727139271615,-0.0033964523290250363,0.0017530731323950298,-0.0035145568293365598,0.007397602407018141,-0.023182704480249523,-0.008620738949750682,-0.009254255776256083,-0.008243340991469738,0.010754024394937,0.012025429377638504,-0.017254324074057723,-0.0006681651860062912
2019-01-10,-0.003269807923805833,-0.009879445726428553,-0.0018246364091184066,0.019078740356069573,0.001755437973584966,0.029376256915035898,-0.009372597872068088,0.0046908935137295205,-0.0010790526079391225,-0.01296216298701773,0.006862893591490917,0.0007046019631786274,-0.004760766496596289
2019-01-11,-0.00913987448098304,-0.008016341365060716,0.009442248578529674,-0.008718124776499477,-0.009945136299384106,-0.007045588105266027,-0.012795965153215457,0.00021524010497178805,-0.006599627060176645,-0.006296463824211772,0.025777313465713,0.006911887978782066,-0.006855644349539664
2019-01-14,-0.007373609761461793,-0.0028956705923248154,0.009892790477533473,-0.0007692146545632203,-0.011147134395056324,-0.0037357689104660667,-0.003964813914819511,-0.012729888159959733,0.007476680499536082,0.0011566712510898344,0.02912236921033524,-0.007560548902352129,-0.006417665603373803
2019-01-15,0.004792395837676898,0.01857066229628855,0.0048234983793961584,-0.014569227650884994,0.002634391168018703,-0.007740639504578156,0.01793678524081299,0.005466250159897188,0.003906879957094141,0.012485896914817846,-0.03333748779252341,0.005033862708447789,0.0015223574708125552
2019-01-16,0.01144624321196133,0.00810272540320675,0.055856140583332055,-0.001762253546512509,-0.017861242313654446,-0.005668023215573184,0.0025563331535249168,-0.013157800463619591,-0.003298148917356228,0.004669722226837636,-0.003327231369101653,-0.009188691756899079,-0.012126214047148474
