Date,AAPL,AMZN,BAC,CAT,CVX,DE,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM
2019-01-03,-0.10492465386022418,-0.025565528700364833,-0.016155657649383388,-0.0392966006248571,-0.019338393963811956,-0.027727524968549418,-0.028086366059310655,-0.016017823195058668,-0.014313781570199122,-0.037481606054391645,-0.06231888869469571,-0.007036206622441978,-0.015473048192123414
2019-01-04,0.041803562500650676,0.04885111342984534,0.04069194952982511,0.05320457881346435,0.020512212039771625,0.0516124871612103,0.05002127374773824,0.01664398282052134,0.03620216912081598,0.04546016902458298,0.062098730367631125,0.02020522801426505,0.03620641369232605
2019-01-07,-0.0022286933865591123,0.03377651087852466,-0.0007822481979834445,0.000624023156314845,0.012910313286522175,0.016218367502007308,-0.0019962619139573174,-0.006435597551077169,0.0006952418857733318,0.001274480835292968,0.05158685040927256,-0.0040086378359111136,0.0051869941905731244
2019-01-08,0.018883682714942757,0.016475884077589695,-0.00195812360482756,0.011938713798430808,-0.004374492169228365,0.017744888818964483,0.008744854498934041,0.02296122402260507,-0.001887471249877526,0.007224548627818228,-0.02521059914293185,0.003684011183691068,0.007244081881315051
2019-01-09,0.016839582395903847,0.0017128868892680703,0.009752322837118564,0.003845219929378386,0.013331334474428936,-0.0166428989158815,-0.003433140633104284,-0.007957549621141305,-0.0016918297744306999,0.014197998754802864,0.019475999518759998,-0.01646595416517346,0.005260861565578151
2019-01-10,0.0031907191607113278,-0.0019302905505940288,-0.0011653083097071196,0.020439332659200265,0.0015876365071869631,0.030565391434867348,-0.002610652298599698,0.006031702054116009,-9.964672650692445e-05,-0.006446236669457443,0.018415326299144042,0.0024158972474613216,-0.0051219238563303465
2019-01-11,-0.009866231931623318,-0.00950021578853727,0.011592248281903356,-0.006489231787157618,-0.008053226627004062,-0.0052930121422890275,-0.013400133086790784,0.0003085065455796164,-0.004792524293721991,-0.007751762085345349,0.024486193339940353,0.00655934460213198,-0.004590838703058139
2019-01-14,-0.015151870298330622,-0.014335246209543026,0.012977332718138843,-0.0022735061009575694,-0.007313380512523625,-0.005511882215260736,-0.01224980758826321,-0.011394275399263807,0.010256283664852229,-0.007322700834361325,0.010759548778729843,-0.006778850439105727,-0.0012554755997741646
2019-01-15,0.020260548789700225,0.034848007027612496,0.006802768944567484,-0.008457866193607022,0.003574359588246808,-0.0022894687970048647,0.032743605890585475,0.008383829714613066,0.0073042632635081355,0.02859305610615185,-0.003795867269156003,0.009390789407727777,0.0005581422666535961
2019-01-16,0.012142249556284025,0.005490895184266011,0.06911826047025334,0.007394867575800409,-0.006442524120697183,0.0022894687970047975,0.002757239407275846,-0.010256592965770847,0.008032223634119063,0.003517004232819298,-0.006896609035026112,-0.0069798827436487985,-0.0004185588124463808
2019-01-17,0.005920403289285667,0.005590776836741111,0.01880276579831494,0.021638699088960177,0.005014350819306826,0.016757900716772293,0.008781969341227571,0.008167234067094227,0.004089298842847265,0.006997888429125089,0.01916493379881513,-0.00014375206364857125,0.00681635076622065
2019-01-18,0.006140462995738604,0.0017583478423892555,0.010636591152070538,0.02160825043748851,0.021297138347626816,0.02796739121651243,0.0074146886877373185,0.01231834837658359,0.016095549996406867,0.014871710086021407,0.03376309779226863,0.008568693477927701,0.011852393772834225
2019-01-22,-0.02270151296284302,-0.038480037543253826,-0.007192859110594869,-0.03243841571747553,-0.017908668881893994,-0.03568116221997059,-0.026232898004999863,-0.014567363933246943,-0.015901526129598186,-0.019026804082437027,-0.05339827986575732,-0.010777443668565149,-0.015185326432020852
2019-01-23,0.0040360084970000034,0.004798041569364464,-0.005861137303533132,-0.003181229608476943,-0.008492419972867576,-0.007774165618415793,0.0053442293247608465,0.0,-0.002528511062867264,0.009699124034891173,0.003489209790235882,0.047504454363011095,-0.0082408956809439
2019-01-24,-0.007957910586437866,0.009050258811113534,0.005517203482668363,0.0068796399441590555,0.018853489623464663,0.005189308531592693,-0.0003780933914422131,-0.01383751855298493,0.0005841329193819585,-0.004790641170763435,0.05569106151535693,-0.005710126167397595,0.0014018605190397853
2019-01-25,0.03259973401067148,0.009406237482289068,0.017047799755302677,0.030641417191749492,-0.0025582748637975705,0.019192392936306823,0.016024080069279516,0.009402104914593448,0.006306376943865759,0.00909235851664332,0.014529088047154986,-0.007450652914657794,0.004471509200437175
