Date,AAPL_excess,AMZN_excess,BAC_excess,CAT_excess,CVX_excess,DE_excess,GOOGL_excess,JNJ_excess,JPM_excess,MSFT_excess,NVDA_excess,PG_excess,XOM_excess,MKT_RF,SMB,HML,MOM,RF
2019-01-03,-0.10502465386022418,-0.025665528700364832,-0.016255657649383387,-0.0393966006248571,-0.019438393963811956,-0.027827524968549417,-0.028186366059310655,-0.016117823195058667,-0.014413781570199121,-0.03758160605439165,-0.06241888869469571,-0.007136206622441978,-0.015573048192123413,-0.0245,0.0036,0.0118,-0.0074,0.0001
2019-01-04,0.04170356250065067,0.04875111342984534,0.04059194952982511,0.053104578813464344,0.020412212039771626,0.0515124871612103,0.049921273747738235,0.01654398282052134,0.03610216912081598,0.04536016902458298,0.06199873036763112,0.02010522801426505,0.03610641369232605,0.0355,0.004,-0.0069,-0.0096,0.0001
2019-01-07,-0.002328693386559112,0.033676510878524656,-0.0008822481979834445,0.0005240231563148449,0.012810313286522176,0.01611836750200731,-0.0020962619139573173,-0.006535597551077169,0.0005952418857733318,0.001174480835292968,0.051486850409272554,-0.004108637835911114,0.005086994190573124,0.009399999999999999,0.0101,-0.0075,-0.0073,0.0001
2019-01-08,0.018783682714942757,0.016375884077589695,-0.00205812360482756,0.011838713798430808,-0.004474492169228365,0.017644888818964484,0.008644854498934042,0.02286122402260507,-0.001987471249877526,0.007124548627818228,-0.02531059914293185,0.0035840111836910682,0.0071440818813150505,0.0101,0.0052,-0.0063,0.0013,0.0001
2019-01-09,0.016739582395903847,0.0016128868892680702,0.009652322837118565,0.003745219929378386,0.013231334474428936,-0.016742898915881498,-0.003533140633104284,-0.008057549621141304,-0.0017918297744307,0.014097998754802865,0.019375999518759998,-0.01656595416517346,0.00516086156557815,0.0052,0.0046,0.0011,-0.008,0.0001
2019-01-10,0.003090719160711328,-0.002030290550594029,-0.0012653083097071197,0.020339332659200265,0.001487636507186963,0.03046539143486735,-0.002710652298599698,0.005931702054116009,-0.00019964672650692444,-0.006546236669457443,0.018315326299144043,0.0023158972474613218,-0.005221923856330347,0.004,0.0003,-0.0045000000000000005,-0.0033,0.0001
2019-01-11,-0.009966231931623317,-0.009600215788537269,0.011492248281903357,-0.006589231787157619,-0.008153226627004061,-0.005393012142289028,-0.013500133086790784,0.00020850654557961638,-0.004892524293721991,-0.007851762085345349,0.024386193339940354,0.006459344602131979,-0.00469083870305814,0.0,0.0012,0.0022,-0.002,0.0001
2019-01-14,-0.015251870298330621,-0.014435246209543026,0.012877332718138844,-0.002373506100957569,-0.007413380512523625,-0.005611882215260737,-0.01234980758826321,-0.011494275399263806,0.01015628366485223,-0.007422700834361326,0.010659548778729844,-0.006878850439105727,-0.0013554755997741647,-0.006,-0.006,0.0095,-0.005699999999999999,0.0001
2019-01-15,0.020160548789700226,0.03474800702761249,0.006702768944567484,-0.008557866193607022,0.0034743595882468082,-0.0023894687970048645,0.03264360589058547,0.008283829714613066,0.007204263263508135,0.02849305610615185,-0.003895867269156003,0.009290789407727778,0.0004581422666535961,0.0105,0.0,-0.009000000000000001,0.0115,0.0001
2019-01-16,0.012042249556284025,0.005390895184266011,0.06901826047025333,0.007294867575800409,-0.006542524120697183,0.0021894687970047976,0.0026572394072758463,-0.010356592965770847,0.007932223634119063,0.003417004232819298,-0.006996609035026112,-0.007079882743648799,-0.0005185588124463808,0.0028000000000000004,0.0004,0.0092,-0.0075,0.0001
2019-01-17,0.005820403289285667,0.005490776836741111,0.01870276579831494,0.021538699088960177,0.004914350819306826,0.016657900716772294,0.008681969341227572,0.008067234067094227,0.003989298842847265,0.006897888429125088,0.01906493379881513,-0.00024375206364857124,0.00671635076622065,0.0078000000000000005,0.0011,-0.0024,-0.0021,0.0001
2019-01-18,0.0060404629957386035,0.0016583478423892555,0.010536591152070538,0.02150825043748851,0.021197138347626817,0.02786739121651243,0.007314688687737318,0.012218348376583591,0.015995549996406868,0.014771710086021407,0.03366309779226863,0.008468693477927702,0.011752393772834225,0.013000000000000001,-0.0037,0.0012,-0.0084,0.0001
2019-01-22,-0.02280151296284302,-0.03858003754325383,-0.00729285911059487,-0.03253841571747553,-0.018008668881893994,-0.035781162219970596,-0.026332898004999862,-0.014667363933246943,-0.016001526129598185,-0.019126804082437027,-0.05349827986575732,-0.010877443668565148,-0.015285326432020852,-0.0152,-0.0039000000000000003,0.003,0.009399999999999999,0.0001
2019-01-23,0.003936008497000003,0.004698041569364464,-0.005961137303533133,-0.003281229608476943,-0.008592419972867575,-0.007874165618415793,0.005244229324760846,-0.0001,-0.002628511062867264,0.009599124034891174,0.003389209790235882,0.04740445436301109,-0.0083408956809439,0.0016,-0.0038,-0.0015,0.0098,0.0001
2019-01-24,-0.008057910586437865,0.008950258811113535,0.0054172034826683625,0.006779639944159055,0.018753489623464663,0.0050893085315926925,-0.0004780933914422131,-0.01393751855298493,0.0004841329193819585,-0.004890641170763435,0.05559106151535693,-0.0058101261673975954,0.0013018605190397853,0.0023,0.0044,0.0,-0.009899999999999999,0.0001
2019-01-25,0.03249973401067148,0.009306237482289068,0.016947799755302678,0.030541417191749493,-0.0026582748637975703,0.019092392936306823,0.015924080069279516,0.009302104914593448,0.0062063769438657585,0.00899235851664332,0.014429088047154986,-0.0075506529146577945,0.004371509200437175,0.009000000000000001,0.0046,-0.0034000000000000002,-0.013500000000000002,0.0001
2019-01-28,-0.009397318975216087,-0.01985608942600138,0.0015888501275310887,-0.09579737530926083,-0.00941752288928405,-0.03161306580079516,-0.01995065153526819,0.005809620910782072,0.004628433030605604,-0.019794534771349286,-0.14888469332216284,-0.0009551579208727886,-0.006815159807762769,-0.008,-0.0016,0.0063,-0.0009,0.0001
2019-01-29,-0.010518980246933846,-0.02733753876321456,-0.008233037057457263,0.017118476892071438,-0.00313550592258052,0.025077286202997977,-0.009216637353411215,0.010234629298869955,0.0026873981471289875,-0.02067552533381365,-0.047659198841506004,0.00011363747390378812,0.003683086417201602,-0.0019,-0.0001,0.0019,-0.0024,0.0001
2019-01-30,0.066000896899219,0.046809775641405704,-0.011047664977413555,0.027800581479403272,0.01039640045698422,0.01492825901509808,0.025666569000796106,0.009901240470049066,0.0022014914484703983,0.03277104285603285,0.042956672672047724,0.010322321822287874,0.01074852917307552,0.0151,-0.0015,-0.009399999999999999,0.0009,0.0001
2019-01-31,0.007075525122688035,0.028404578463132848,-0.020955857524972994,0.02307148367853518,0.01430775771908352,0.00656876517098509,0.024992513642418345,0.010779489831633168,-0.008854065758874157,-0.01860035893197606,0.04515201185553175,0.020320907535951487,0.013501665548728104,0.0091,0.0011,-0.0111,0.0032,0.0001
2019-02-01,0.0003803595893828273,-0.05542119310099609,-0.0032663204509145245,-0.017141385827717032,0.03183112496830531,-0.0008319889226800734,-0.0065780353981892085,0.008281071519639138,0.003565176163274743,-0.016026360499318156,0.00669432638179613,0.0102124816357343,0.03529262728852969,0.0013,-0.0012,0.0043,-0.0053,0.0001
2019-02-04,0.027908765574357446,0.0042441324758574935,0.017364720330922748,-0.0003292153348522356,0.011407614823011997,0.0037367980355983883,0.02007735523061171,-0.009984987460101017,0.0034553884779358127,0.02829259413529592,0.030183687630297953,0.0056291538275984754,-0.014695046020263051,0.0073,0.0048,-0.004699999999999999,-0.0012,0.0001
2019-02-05,0.016865192665572556,0.015391866188782572,-0.0035682646609278617,0.008420885622700483,-0.0022738358804280877,-0.0019251421363438148,0.00901364317163415,-0.0001,-0.004522408271655246,0.013799607452217665,0.005048129232218852,-0.006136750638450457,0.010138734816277714,0.0043,-0.0007000000000000001,-0.0060999999999999995,0.0009,0.0001
2019-02-06,0.00024433004083595925,-0.011345686147586902,-0.0018390096235411215,-0.011222360656603115,-0.005134407197556871,-0.0033331050930742647,-0.025581059473437362,0.0008027480388666281,-0.000581783603185443,-0.011260868975141385,0.02003629043352264,0.0048139769740791595,-0.00447522946642049,-0.0021,-0.0001,0.0006,-0.003,0.0001
2019-02-07,-0.0192208732889482,-0.016010006048540103,-0.017302579402354277,-0.01367413707988959,-0.005582427139075585,-0.011652380369117291,-0.015337202495868934,-0.00726852757520721,-0.01329629650312724,-0.00729351934312437,-0.037252326570544454,-0.008097708985904957,-0.007836167956308648,-0.009300000000000001,-0.0013,0.0038,0.0068000000000000005,0.0001
2019-02-08,0.0010744254124852252,-0.016430834290413306,0.0016692375372232074,-0.0014983744928777438,-0.00561327937175733,0.005754379932856374,-0.003297036724933879,0.002546899405218847,-0.010112866590895832,0.0036922921157490273,0.004974498316898193,0.005750861607062207,0.0015232340334232167,0.001,0.0005,-0.0068000000000000005,0.0073,0.0001
2019-02-11,-0.005867852379074202,0.0016488562477837048,0.004132530320282066,0.0024625271510485946,-0.005472599459786261,-0.005089036263369842,-0.00033602515878133795,-0.003125793561612519,-0.004846919716220834,-0.004082385925632085,-0.011776199790431586,0.005614746981610741,0.0015206034142298415,0.0014000000000000002,0.0066,0.0023,-0.0011,0.0001
2019-02-12,0.008480334063427538,0.029019271400045343,0.009707581617802538,0.028495348422069078,0.014921487998918685,0.019770295668215965,0.022738298217479195,0.016131176093505544,0.01680629641388357,0.015361631793048638,0.03162098752230586,0.009923848124684442,0.017291597359133784,0.013600000000000001,0.0002,-0.0016,-0.005,0.0001
2019-02-13,-0.0042635568085395295,0.0011141827176494052,0.0002483707051194908,0.0031359777131320875,0.0070343641462535435,-0.015288471465117203,0.0008307818809634032,0.0020593293279293975,0.004664212575760678,-0.0008483705200940984,0.011148202018703562,-0.00030141740637860265,0.011110152260147142,0.0028000000000000004,0.0006,0.0007000000000000001,-0.0038,0.0001
2019-02-14,0.003536748366184211,-0.010735630351720702,-0.010960011070038286,-0.00371280717244287,-0.0019603467641500756,-0.0018226131402746379,0.0004048508959033485,-0.0011417104726512807,-0.00662021253703529,0.0007421552081422252,0.010634873114566944,-0.007991096274982354,0.00016234180719172187,-0.002,0.0053,-0.0059,0.0019,0.0001
2019-02-15,-0.0023274296726351696,-0.009200547125929937,0.024944710758435407,0.026536536101893146,0.009920827780556326,-0.021444103861721138,-0.008611166529185907,0.015194531775934567,0.030003013139758554,0.012172429434555454,0.017920844893724096,0.00010319916763857266,0.018604553800776132,0.0113,0.0024,0.0048,-0.0046,0.0001
2019-02-19,0.0028882237084280555,0.012034157679584379,0.0005868068075029933,-0.0030413126587815462,-0.00043535980855540396,-0.011040859908834626,0.0060261988723250915,-0.005172299390883092,-0.0036116981464065184,-0.0005622293039379891,-0.004558847897024498,0.015116632471276915,0.00656921245501084,0.0019,0.0029,0.0031,-0.0042,0.0001
2019-02-20,0.0063146380964371985,-0.003472574574138811,0.009466247391968375,0.03257089447899608,0.007997217308130956,0.016423448505394202,-0.005369055423107957,0.004752349705724653,0.004736859115322085,-0.0053125339411441135,0.012019824858640211,-0.007225941111978029,0.0037274787797827464,0.0019,0.0021,0.005600000000000001,-0.0039000000000000003,0.0001
2019-02-21,-0.005754235254152835,-0.0017412354851550698,-0.004188398050968647,-0.01034366368988311,-0.009622808017910243,0.018305689431073177,-0.01482525314744777,-0.006944072638632513,-0.0021836887142806377,0.020772607716502363,-0.017789491728042926,0.004923675948626338,-0.009182382423871361,-0.0037,-0.0006,-0.0023,0.0044,0.0001
2019-02-22,0.01100361951148437,0.007356236282017582,-0.007295712533502006,-0.001541643309944349,0.001996022543319667,0.018877568846980327,0.011022383655052679,0.008576014294353193,-0.00456623682105198,0.014057370163774001,0.02161795309853817,0.004599588573726587,0.007580532170526941,0.006500000000000001,0.0055000000000000005,-0.0147,0.0024,0.0001
2019-02-25,0.007158304764043021,0.0007821844156088245,0.006412348325927698,0.01939462432236411,0.0018245977640234047,-0.0068103682443786005,0.0005894621962003303,0.003577613119261642,0.010321934647638469,0.005471532559103644,-0.0032457965508173366,-0.006906374664474886,0.000919808142614156,0.0015,-0.0026,-0.0018,-0.0063,0.0001
2019-02-26,0.0004735608455976505,0.001979870666889819,0.0005833642075744818,-0.024654717020070188,0.002571489850922562,-0.006550562587101753,0.00407968120622703,-0.0007608290818908308,-0.00776378543478456,0.006776678229959098,-0.010170098514957088,0.0025077133035087697,0.0019358958268881142,-0.0016,-0.0063,-0.0033,0.0021,0.0001
2019-02-27,0.0029926003694911896,0.0027619124443764038,0.008060380053722773,0.011429308948356467,0.0010667161390522759,-0.0013826654565101252,0.0006840825551747462,-0.0018648980929577444,-0.001335416182283394,-0.0017925834085909822,-0.010915607241521975,-0.009358602096335667,0.01014481275311782,0.001,0.002,-0.0012,0.0045000000000000005,0.0001
2019-02-28,-0.009984241774158752,-0.0008680274393184956,-0.010363665670615887,-0.01627831706776394,-0.004272458572067772,0.002646925539334475,0.0031540703189564525,0.0055509722698422635,-0.007736335150510831,-0.0013488798555437995,-0.006497425236327632,-0.003746099468228003,-0.005651910933963418,-0.0031,0.0002,-0.0027,0.006999999999999999,0.0001
2019-03-01,0.010356161781170476,0.01916645484769524,0.007778251485964349,0.0008458416978726308,0.020181171746057523,-0.004560365713436659,0.01921438313788988,0.012337413301255389,0.0005703552933571527,0.004353058740369067,0.013996985090668245,-0.0012166599754254363,0.012099315085486633,0.0072,0.0029,-0.0040999999999999995,-0.0024,0.0001
2019-03-04,0.00491691164757874,0.014413750908028595,-0.009699125043226347,0.006281106692753473,0.0006370136413595702,0.015152807354694781,0.004157297765865676,0.000839035329395673,-0.0024007824900461197,-0.0025020984913398966,0.0020071634026948173,0.004258550790635101,0.0037672866401689984,-0.0052,-0.0040999999999999995,0.0038,-0.0051,0.0001
2019-03-05,-0.0019211387739717341,-0.0023074504509868177,0.0016208735572619763,-0.00888425148800185,0.009435468747059734,-0.026807189688187714,0.013479682182925147,0.001991981636395427,-0.0008681648937175513,-0.005100955223550195,-0.001759840487158076,0.0021223777517163298,-0.0015951297938497724,-0.0017000000000000001,-0.0031,-0.0022,0.004699999999999999,0.0001
2019-03-06,-0.0058707543166425825,-0.014070631881135682,-0.00838741348397994,-0.01708746208505693,0.0018445335424880558,-0.020182877502237847,-0.0037414881256571703,0.0022030646216831514,-0.0038527954666620645,0.00034747341783731054,-0.029074470000167604,-0.0017158016022504098,-0.011513236182300664,-0.0084,-0.0126,0.0005,0.0075,0.0001
2019-03-07,-0.011742013479650754,-0.02620244391897686,-0.010206212321208132,-0.01527079585153756,-0.013054744850072934,-0.0014907338074933462,-0.012268811216523625,-0.0062297804845567835,-0.0073574133982627675,-0.012344600935892666,-0.01861941034651,-0.003948466964675561,0.010938972102403377,-0.008199999999999999,-0.0006,-0.0034000000000000002,0.0051,0.0001
2019-03-08,0.0022740281414251563,-0.003272402043435903,0.003396504570486715,-0.011078618232055948,-0.0027277873887113484,0.006145202386846425,-0.0008649589799362455,-0.0014029101369640996,0.0002882730047606727,0.0009864810833070685,0.00910302462719966,-0.0015215048497588398,-0.01455018556710058,-0.0022,0.0006,-0.0017000000000000001,0.0014000000000000002,0.0001
2019-03-11,0.03395525372841426,0.030174928015204303,0.009971270923928275,0.01321030181101694,0.016210769163032216,0.00872821075109025,0.025051274961156972,0.0035152658994835107,0.012824217080032648,0.02067629385927507,0.06728057291639532,0.011718781031162478,0.009598449062420043,0.0149,0.0036,-0.0053,-0.0034000000000000002,0.0001
2019-03-12,0.011073089809435931,0.0013833846646547194,-0.0001,-0.004844126260804199,0.002162475117475785,-0.00811096188301882,0.015040096201892596,0.004364569479963994,-0.0030748763792679662,0.006877307525927599,0.008427715947722422,0.004608822257462586,0.0026538437382582856,0.0025,-0.0028000000000000004,-0.0007000000000000001,-0.0006,0.0001
2019-03-13,0.004312171663916078,0.010429488021602368,0.011921431232544884,0.007569989781686529,0.006095730392091973,0.003287293252268659,0.0014106844776494375,0.00155076177340532,0.003258371997709039,0.00761520214212203,0.03674641605630275,0.011130827439201265,0.008735843972473909,0.0067,-0.0032,0.0008,-0.0021,0.0001
2019-03-14,0.010955013854533246,-0.0028183645581762178,0.005687246185064654,0.001321849167594102,-0.000661794488285449,-0.012196723933390134,-0.005560853518661577,-0.010120175670137403,0.008959435970526888,0.0006858361369031969,-0.01841403333218014,0.0012829776431165449,-0.0034512642648203565,-0.001,-0.004,0.003,0.0021,0.0001
2019-03-15,0.012824681892093188,0.015283189836354889,-0.005546045601898718,-0.007758715879323163,0.005581901295337994,0.0023689180163530676,-0.0019716949250479015,-0.003147851354769006,0.011321099319229106,0.011353377710612352,0.025246468374305987,0.010893353078219502,-0.003711582854586275,0.0048,-0.0025,-0.0025,-0.0016,0.0001
2019-03-18,0.010056690419168632,0.01714746983538388,0.01749178389235051,0.010620919520708398,0.0044384398785254535,0.013403460791163415,-0.0015712622008830163,-0.003229867293322841,0.005888668284696943,0.014119624944626968,-0.005177433145850097,-0.009219921813332161,0.011436430055973987,0.0046,0.0015,0.0044,-0.0059,0.0001
2019-03-19,-0.008056198989651528,0.011144417875099167,-0.005817028308304726,0.00027267139496657056,-0.0048778810543783115,0.004070565678315924,0.011535405347867575,0.009116106671592074,-0.003745113825079475,0.0005805482871510763,0.03913252792214003,0.003734730548656634,-0.0026932480872533375,-0.0009,-0.0038,-0.0092,0.0048,0.0001
2019-03-20,0.008600516517429038,0.019804495279827,-0.034757759143946236,-0.008634096084059812,-0.004820390767441914,-0.008271180959286967,0.019637976490061278,-0.008441903315249515,-0.021679566531599227,-0.001205727240954012,-0.0075838580401597026,-0.0018683467381914462,0.005448981392693078,-0.0037,0.0001,-0.0106,0.005699999999999999,0.0001
2019-03-21,0.03606844169305997,0.012060922039608138,-0.016291824021662276,0.007763108157830138,0.009239345864889165,0.0003382996375881561,0.007778105823816652,0.00578272359535046,-0.01601189669287355,0.02261493675944968,0.053158466824978934,0.0074415505829254535,0.005663317850068284,0.011000000000000001,0.003,-0.0123,-0.0002,0.0001
2019-03-22,-0.02102597361956656,-0.030509398179863065,-0.0425054748309383,-0.03262365096656768,-0.022354345786743612,-0.024113765215220823,-0.02340932938192604,-0.008754318705050978,-0.030799385255917706,-0.026822138483607694,-0.035739085843324865,-0.00823130419934194,-0.01624673476490081,-0.0217,-0.0151,-0.0008,0.0101,0.0001
2019-03-25,-0.012264524985632616,0.005263007055880072,-0.006413767733391068,0.012230009603383463,-0.0017262195706463563,0.00877420729779669,-0.008640389566054403,-0.002293497394582946,-0.008454586469714705,0.005098051589224967,-0.021280443031683464,0.0028466451949706443,-0.007082221640972761,-0.0005,0.0066,-0.0026,0.0066,0.0001
