Confidence,Hist_VaR,Hist_CVaR,Param_VaR,Param_CVaR,Hist_VaR_Ann,Hist_CVaR_Ann,Param_VaR_Ann,Param_CVaR_Ann
0.95,0.01858,0.03218,0.02105,0.02658,0.295,0.5108,0.3342,0.422
0.99,0.03911,0.05765,0.03008,0.03456,0.6208,0.9151,0.4774,0.5487
