,AAPL,AMZN,BAC,CAT,CVX,DE,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM
2019-07-05,1.3722242485903569,1.251677309682214,1.4333091252031305,1.4573909733366304,0.7385890826153263,0.9946924659103212,0.9758391213021236,0.7273465412065048,1.1922765918885923,1.4135552085870122,1.5166464963258028,0.7084728702131398,0.7216029114997006
2019-07-08,1.083487739478545,1.3338514694832486,1.4281689071751922,1.4290089775074322,0.7201130561989209,0.9683641372323009,1.0392232004117927,0.7456815585001639,1.1976013780061519,1.4423732312781925,1.4423365300117998,0.7634242887998453,0.7201306311952443
2019-07-09,1.137468527890599,1.3516531376030034,1.4269832350402543,1.4252515085809496,0.7500066757157375,0.9127752055088495,1.0011731364885081,0.7724715332443906,1.187708497979664,1.4580997937949802,1.5342177490140148,0.7602581881248034,0.6757244794224676
2019-07-10,1.1186043656055722,1.3656863097970136,1.4222679373103968,1.4141442696947832,0.756392183393598,0.914073709693329,0.9859957059936599,0.7654170397808144,1.1878539035575493,1.452477759996163,1.5508561644102294,0.7592919891305854,0.6751202934143539
2019-07-11,1.1138547178330018,1.3663713261346302,1.4312632481141963,1.4128356383323624,0.768367374133863,0.9042398000924555,0.9916499929179348,0.7464177515965031,1.193515248460629,1.4604663897405432,1.6005858816937542,0.7612909308304668,0.6716377616647992
2019-07-12,1.103618616583997,1.3537890155506225,1.4404489387717376,1.4199607344162883,0.7679539589866918,0.900914564250701,0.9916509798831125,0.7314254405101264,1.1952206709801647,1.4595999105267647,1.640959773230208,0.755754845290332,0.6686429174473738
2019-07-15,1.0979453866563524,1.3473256881263365,1.4376159422803503,1.4338098704338034,0.7666304399360122,0.9194252633189797,0.9846956070807595,0.7252237363790319,1.194648583916862,1.4517226475197615,1.6388369167670223,0.757488478711876,0.6609230399828856
2019-07-16,1.0940335409104187,1.3475946978917883,1.431712508888898,1.417951907929725,0.7641536255714519,0.9110089586290135,0.9863411828195201,0.7253614052652112,1.1933555268441824,1.457047804566491,1.6516716347617115,0.7584812223063909,0.6643732459339047
2019-07-17,1.0863047012064146,1.3472089523527462,1.443450617865215,1.4173615401152566,0.7643075545784286,0.9053327571249714,0.979747971487656,0.7325080351306317,1.18302135319471,1.4653222755320265,1.6598415774662658,0.7489624312114596,0.6724946730576461
2019-07-18,1.0639931980938573,1.3094171724498573,1.3970602993492436,1.4771207167277607,0.7661130685774973,0.9325783823492375,0.9358954067691836,0.7437370093847129,1.1605155339051247,1.4482905646682072,1.6537563555919443,0.7558752066857087,0.6699945524867168
2019-07-19,1.0639833725190213,1.2885161496842699,1.3616717158370588,1.464872616164934,0.776850698456546,0.9350364511281011,0.9271007559341979,0.7479327751445461,1.1665846081406082,1.4365079065408595,1.6615867280589869,0.7571697010862117,0.6611010822430379
2019-07-22,1.0833667602007053,1.2804531341078227,1.3620594846797798,1.4146149320826642,0.770573111719247,0.8995821110586391,0.9273013467190164,0.752187119693546,1.1963132467944642,1.4090312546391373,1.663599634198753,0.7555765112113508,0.6578977233034231
2019-07-23,1.1179403788038365,1.313243082623535,1.3790691859456037,1.4164182643837147,0.752264263251466,0.8766185580191068,0.9386955862212419,0.7396156568630416,1.2036964349801662,1.4165684823736866,1.6671318612088621,0.755859136599759,0.6646284995631915
2019-07-24,1.125301591649598,1.2883258399299615,1.4048804233417105,1.4160677449563877,0.7329637247187293,0.8644056650809786,0.9444838647887529,0.7256904431026518,1.1980911423558074,1.4164408684613499,1.6762918501090214,0.7149209072954235,0.6535590184424825
2019-07-25,1.1144762515053503,1.2858539006187102,1.4073119541212453,1.3381793173574565,0.7463829823174966,0.8462170711885719,0.9300495457220181,0.7452035943191724,1.1885801612010618,1.4249659797509662,1.6689586041102757,0.630295408716353,0.6566026251465666
2019-07-26,1.093690490179654,1.2907689632376658,1.4103757157988133,1.3694814430796656,0.7695673955521372,0.8525068064263401,0.9299053948420456,0.7370054729416768,1.1834159576641143,1.4174744724423158,1.730040032795245,0.6240731074518246,0.654342058437773
2019-07-29,1.0967309098649034,1.2372024102697206,1.4282900678280002,1.347851750152846,0.7220366392054028,0.8821862762376182,1.0846791471561876,0.7334022163712514,1.1787921607001854,1.4124688754619457,1.7057305815483388,0.638199343379402,0.6403259052298829
2019-07-30,1.0944635018711724,1.2461817669504889,1.4334317839330961,1.214094543649266,0.7079828047316937,0.8450830814153448,1.0812038683070422,0.7317369854103554,1.1830927262769704,1.4051530329498034,1.5301915757442912,0.6330894213551643,0.6278023896110062
2019-07-31,1.078504268355374,1.2221843022970054,1.4188156193743862,1.2520816285501286,0.7051651870616717,0.8819970050293018,1.0786503171220132,0.7343620084989937,1.1974544729987724,1.3703238802566093,1.4867294658103556,0.5388572026419116,0.6295673145527526
2019-08-01,0.9175858083718114,1.169918845509824,1.4635287974277387,1.219308332230697,0.7094658793422576,0.9073808921147573,1.0558512688153237,0.7457747720324271,1.1935738317121052,1.3764332868279219,1.493031779305003,0.5661820907814028,0.6378454746736486
2019-08-02,0.9485622746626179,1.165598809665992,1.4844122135983127,1.2265904549658564,0.7111920235644338,0.9174311969636602,1.0651433087645206,0.7445742825156881,1.1903432651716894,1.381165247407477,1.4658093085425663,0.5751988314604386,0.6440837873018384
2019-08-05,0.9686253294337696,1.1734389427254563,1.4709699530876037,1.2368303019023195,0.7028270791743362,0.9265677247535706,1.0683632763733306,0.7266272165586053,1.1773481801475376,1.3785247788048225,1.4751339763477063,0.5752267964570488,0.6512530601658661
2019-08-06,1.0880994747589479,1.145312122510822,1.4699844965912219,1.139352155628716,0.667337360315365,1.0360737674682694,1.0716793342963162,0.6461847300850212,1.144571530462708,1.3338599552887624,1.5544106622733846,0.6540608307355608,0.6466058724040809
2019-08-07,1.103826477348221,1.1339952135467186,1.468129886290201,1.1206081198939764,0.6637899511565993,1.04762564296511,1.061597133104382,0.620631454811124,1.1374570123426424,1.3158638345814033,1.549060170180212,0.6495436378168191,0.6638470911514753
2019-08-08,1.1011321851511233,1.1278008073458836,1.4752543932010664,1.1166470380697007,0.660398424392214,1.0520879319793495,1.0441656824378758,0.6278579343021304,1.1473305311046822,1.3095419761178042,1.563432488439719,0.6480270351854225,0.663434834403628
2019-08-09,1.096437702968135,1.1222340794877463,1.4402276970796,1.0827544209433575,0.7350769707513044,1.0721477810498317,1.0561075280504744,0.6229994665110219,1.1311826095472122,1.3072693045910881,1.5498249567339888,0.6546883036099557,0.7142557836356963
2019-08-12,1.0949448965292352,1.1259637330876586,1.4340994958230762,1.086400157045186,0.7355044181178896,1.065531205496055,1.0598930417845285,0.621360731734237,1.12758099189905,1.308908573281589,1.5499485372502586,0.6565617018867129,0.7193856265211485
2019-08-13,1.063534996918889,1.119952064579842,1.441103526596965,1.0924491824615834,0.7280428553214622,1.1404874604527717,1.0573154014991135,0.6073902948528714,1.1300218016199746,1.304242537887478,1.5289429705502608,0.6539092139302775,0.6986974353213622
2019-08-14,1.1194533425051902,1.1060244807964519,1.4292087322257845,1.083834963823337,0.7150636399359658,1.1071053954520416,1.045237918869108,0.5966448589051718,1.1324490630908794,1.3032223956813735,1.528699709058873,0.6513745623084501,0.6936912193506688
2019-08-15,1.087083064787918,1.1078612565784298,1.4303780654037779,1.0480963995978039,0.7736433203031552,1.0570314791698088,1.0389741826554924,0.6367712790617513,1.1427770558410455,1.2845722691326218,1.442870099043963,0.6365958914802095,0.7408382278725493
2019-08-16,1.0828359565681251,1.102531226079828,1.425924844071677,1.0558489360266954,0.7681715887332224,1.0680395930666682,1.0376377098689646,0.6339753166769324,1.1513141003237548,1.2735651965396642,1.4514310480079797,0.6396774668634438,0.7425465867185832
2019-08-19,1.1145942745593045,1.1241841501864671,1.4208625717120151,1.0160263031588295,0.7452155758259579,1.155998995740442,1.0593933947934842,0.6194460948279068,1.1313235238894133,1.2784509181627957,1.517071316427403,0.6640590525216331,0.7282944490653325
2019-08-20,1.1133903288585998,1.122947271347054,1.416309028855832,1.0115025634311785,0.7464149106678706,1.157216492466714,1.0623516961974397,0.6219835711288473,1.1277468033659053,1.2798339878725602,1.5326814009991576,0.6653269908114807,0.7293181459462927
2019-08-21,1.1010861271187378,1.126165304861499,1.4218384421768337,0.9918377247244581,0.7477441200780526,1.1404448555026585,1.0753660146274413,0.6300190415307463,1.1270455010041833,1.2824109035820688,1.5346737472048435,0.6778962923477401,0.7234790705309206
2019-08-22,1.0980425120382273,1.1269664156805466,1.4228208939825475,0.9915039348698999,0.7526635222161181,1.156830778217388,1.0671621027679121,0.6305184369105948,1.1251291476616174,1.290252206081506,1.531727224967273,0.6773412177968879,0.7250841252920288
2019-08-23,1.0946900384442506,1.119651058831939,1.425167573402344,0.9905790089326403,0.7526547619786901,1.1658934826283573,1.064591944728666,0.6336352853865042,1.1290543370031914,1.2884568460747574,1.5319364900328747,0.6783240586506549,0.72774694912171
2019-08-26,1.1416753627911485,1.1156836596129311,1.392857169111538,1.0110822394748231,0.7564259429258302,1.2174723874422915,1.0744176860402619,0.6832481882755708,1.123572780439475,1.2972734129385453,1.5204980769921086,0.6843684189560453,0.7475172546512638
2019-08-27,1.1518547889729986,1.1135635018080916,1.393127518545103,0.9926976848068116,0.7536373287054929,1.2416207640273849,1.081089774255849,0.6835887322937861,1.1160755243512168,1.2982515865151796,1.5240141682992976,0.6986475656994056,0.7482589041965866
2019-08-28,1.1537362591949796,1.1132466780377896,1.388576657014194,0.9862704028198783,0.750978336338594,1.2396536232703375,1.0811351524720323,0.6800386180678322,1.1172362800063418,1.2999397920446183,1.5316672490442964,0.7008447375590576,0.7436214048507555
2019-08-29,1.1531507717444407,1.1114084927854804,1.3874156602127687,0.9882257779562897,0.751922849022619,1.2416320838171453,1.0810657178345753,0.6769454222085761,1.1155175402549096,1.2975794693295193,1.5222942778897934,0.7027466421018713,0.7438510703676608
2019-08-30,1.1509193969675326,1.1073667028271594,1.3821565267966534,0.997664923579526,0.7437597243700165,1.246711791962532,1.0848383218063002,0.6684393002600352,1.1199353629670998,1.302987333204932,1.5259611006555454,0.6936596283627445,0.7406057720164261
2019-09-03,1.1599746869762313,1.1314224326932574,1.374003696945194,1.0048329587264175,0.7465635010700278,1.2685362870475991,1.0989475231593402,0.6754868132453862,1.11623613014982,1.3079380886694192,1.5290531481768945,0.7025614308562642,0.7448099492741377
